Player_id,Name_batting,Desc,Runs_batting,Balls_batting,4s_batting,6s_batting,SR,Team_batting,base_points_batting,pace_points_batting,milestone_points_batting,impact_points_batting,batting_points,Name_bowling,Overs,Maidens,Runs_bowling,Wickets,Econ,Dots,4s_bowling,6s_bowling,Wd,Nb,Team_bowling,Balls_bowling,base_points_bowling,pace_points_bowling,milestone_points_bowling,impact_points_bowling,bowling_points,Name,Team,fielding_points,bonus_points,total_points
1060380,Ruturaj Gaikwad,c Rana b Yadav,0,4,0,0,0.00,1,0,-4,0.0,-5,-9.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Ruturaj Gaikwad,1,0,0,-9.0
379140,Devon Conway,c SS Iyer b Yadav,3,8,0,0,37.50,1,3,-5,0.0,0,-2.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Devon Conway,1,0,0,-2.0
35582,Robin Uthappa,st †Jackson b Varun,28,21,2,2,133.33,1,28,7,5.0,6,46.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Robin Uthappa,1,0,0,46.0
33141,Ambati Rayudu,run out (SS Iyer/Narine),15,17,1,1,88.23,1,15,-2,0.0,3,16.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Ambati Rayudu,1,10,0,26.0
234675,Ravindra Jadeja,not out,26,28,0,1,92.85,1,26,-2,5.0,2,31.0,Ravindra Jadeja,4,0.0,25.0,0.0,6.25,8.0,1,1,0,0,1,24.0,0.0,22.0,0.0,8.0,30.0,Ravindra Jadeja,1,10,0,71.0
714451,Shivam Dube,c Narine b Russell,3,6,0,0,50.00,1,3,-3,0.0,0,0.0,Shivam Dube,1,0.0,11.0,0.0,11.00,1.0,2,0,0,0,1,6.0,0.0,-2.0,0.0,1.0,-1.0,Shivam Dube,1,0,0,-1.0
28081,MS Dhoni,not out,50,38,7,1,131.57,1,50,12,15.0,9,86.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,MS Dhoni,1,10,0,96.0
51439,Dwayne Bravo,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Dwayne Bravo,4,0.0,20.0,3.0,5.00,11.0,2,0,0,0,1,24.0,60.0,32.0,15.0,11.0,118.0,Dwayne Bravo,1,0,0,118.0
502714,Mitchell Santner,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Mitchell Santner,4,0.0,31.0,1.0,7.75,5.0,1,1,0,0,1,24.0,20.0,10.0,0.0,5.0,35.0,Mitchell Santner,1,0,0,35.0
450860,Adam Milne,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Adam Milne,2.3,0.0,19.0,0.0,7.60,9.0,2,1,0,0,1,15.0,0.0,7.0,0.0,9.0,16.0,Adam Milne,1,0,0,16.0
822553,Tushar Deshpande,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Tushar Deshpande,3,0.0,23.0,0.0,7.66,9.0,4,0,0,0,1,18.0,0.0,8.0,0.0,9.0,17.0,Tushar Deshpande,1,10,0,27.0
277916,Ajinkya Rahane,c Jadeja b Santner,44,34,6,1,129.41,2,44,10,5.0,8,67.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Ajinkya Rahane,2,0,5,72.0
851403,Venkatesh Iyer,c †Dhoni b Bravo,16,16,2,0,100.00,2,16,0,0.0,2,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Venkatesh Iyer,2,0,5,23.0
604527,Nitish Rana,c Rayudu b Bravo,21,17,2,1,123.52,2,21,4,0.0,4,29.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Nitish Rana,2,10,5,44.0
642519,Shreyas Iyer,not out,20,19,1,0,105.26,2,20,1,0.0,1,22.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Shreyas Iyer,2,20,5,47.0
297628,Sam Billings,c Deshpande b Bravo,25,22,1,1,113.63,2,25,3,5.0,3,36.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sam Billings,2,0,5,41.0
237696,Sheldon Jackson,not out,3,3,0,0,100.00,2,3,0,0.0,0,3.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sheldon Jackson,2,10,5,18.0
276298,Andre Russell,DNB,0,0,0,0,0,2,0,0,0.0,0,0.0,Andre Russell,4,0.0,38.0,1.0,9.50,7.0,5,1,0,0,2,24.0,20.0,-2.0,0.0,7.0,25.0,Andre Russell,2,0,5,30.0
230558,Sunil Narine,DNB,0,0,0,0,0,2,0,0,0.0,0,0.0,Sunil Narine,4,0.0,15.0,0.0,3.75,10.0,0,0,0,0,2,24.0,0.0,42.0,0.0,10.0,52.0,Sunil Narine,2,20,5,77.0
376116,Umesh Yadav,DNB,0,0,0,0,0,2,0,0,0.0,0,0.0,Umesh Yadav,4,0.0,20.0,2.0,5.00,15.0,1,1,2,1,2,24.0,40.0,32.0,5.0,15.0,92.0,Umesh Yadav,2,0,30,122.0
1079848,Shivam Mavi,DNB,0,0,0,0,0,2,0,0,0.0,0,0.0,Shivam Mavi,4,0.0,35.0,0.0,8.75,12.0,3,2,1,1,2,24.0,0.0,2.0,0.0,12.0,14.0,Shivam Mavi,2,0,5,19.0
1108375,Varun Chakravarthy,DNB,0,0,0,0,0,2,0,0,0.0,0,0.0,Varun Chakravarthy,4,0.0,23.0,1.0,5.75,11.0,1,1,1,0,2,24.0,20.0,26.0,0.0,11.0,57.0,Varun Chakravarthy,2,0,5,62.0
