Player_id,Name_batting,Desc,Runs_batting,Balls_batting,4s_batting,6s_batting,SR,Team_batting,base_points_batting,pace_points_batting,milestone_points_batting,impact_points_batting,batting_points,Name_bowling,Overs,Maidens,Runs_bowling,Wickets,Econ,Dots,4s_bowling,6s_bowling,Wd,Nb,Team_bowling,Balls_bowling,base_points_bowling,pace_points_bowling,milestone_points_bowling,impact_points_bowling,bowling_points,Name,Team,fielding_points,bonus_points,total_points
422108,KL Rahul,c †Wade b Mohammed Shami,0,1,0,0,0.00,1,0,-1,0.0,-5,-6.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,KL Rahul,1,10,0,4.0
379143,Quinton de Kock,b Mohammed Shami,7,9,1,0,77.77,1,7,-2,0.0,1,6.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Quinton de Kock,1,0,0,6.0
431901,Evin Lewis,c Shubman Gill b Aaron,10,9,2,0,111.11,1,10,1,0.0,2,13.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Evin Lewis,1,0,0,13.0
290630,Manish Pandey,b Mohammed Shami,6,5,1,0,120.00,1,6,1,0.0,1,8.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Manish Pandey,1,10,0,18.0
497121,Deepak Hooda,lbw b Rashid Khan,55,41,6,2,134.14,1,55,14,15.0,10,94.0,Deepak Hooda,3,0.0,31.0,1.0,10.33,3.0,2,2,0,0,1,18.0,20.0,-4.0,0.0,3.0,19.0,Deepak Hooda,1,10,0,123.0
1151270,Ayush Badoni,c Pandya b Aaron,54,41,4,3,131.70,1,54,13,15.0,10,92.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Ayush Badoni,1,0,0,92.0
471342,Krunal Pandya,not out,21,13,3,0,161.53,1,21,8,0.0,3,32.0,Krunal Pandya,4,0.0,17.0,1.0,4.25,12.0,1,0,0,0,1,24.0,20.0,38.0,0.0,12.0,70.0,Krunal Pandya,1,0,0,102.0
552152,Dushmantha Chameera,not out,1,1,0,0,100.00,1,1,0,0.0,0,1.0,Dushmantha Chameera,3,0.0,22.0,2.0,7.33,11.0,4,0,1,0,1,18.0,40.0,10.0,5.0,11.0,66.0,Dushmantha Chameera,1,0,0,67.0
1132005,Mohsin Khan,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Mohsin Khan,2,0.0,18.0,0.0,9.00,4.0,3,0,0,0,1,12.0,0.0,0.0,0.0,4.0,4.0,Mohsin Khan,1,0,0,4.0
1175441,Ravi Bishnoi,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Ravi Bishnoi,4,0.0,34.0,0.0,8.50,11.0,3,2,2,0,1,24.0,0.0,4.0,0.0,11.0,15.0,Ravi Bishnoi,1,0,0,15.0
694211,Avesh Khan,DNB,0,0,0,0,0,1,0,0,0.0,0,0.0,Avesh Khan,3.4,0.0,33.0,1.0,9.00,10.0,5,1,0,0,1,22.0,20.0,0.0,0.0,10.0,30.0,Avesh Khan,1,0,0,30.0
1070173,Shubman Gill,c Hooda b Chameera,0,3,0,0,0.00,2,0,-3,0.0,-5,-8.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Shubman Gill,2,10,5,7.0
