Owner,Match_1,Match_2,Match_3,Match_4,Match_5
Abhi,138.0,266.0,361.0,509.0,509.0
Ash,421.0,592.0,703.0,718.0,836.0
Bhar,282.0,388.0,440.0,514.0,635.0
Firi,155.0,228.0,508.0,610.0,654.0
Jilla,79.0,84.0,196.0,280.0,319.0
Mabbu,62.0,143.0,150.0,282.0,317.0
Saju,-3.0,73.0,145.0,232.0,390.0
Shar,0.0,111.0,187.0,262.0,409.0
Siddhu,42.0,86.0,219.0,372.0,497.0
Srini,55.0,229.0,319.0,319.0,433.0
