Owner,Match_1,Match_2,Match_3
Abhi,128.0,95.0,148.0
Ash,171.0,111.0,15.0
Bhar,106.0,52.0,74.0
Firi,73.0,280.0,102.0
Jilla,5.0,112.0,84.0
Mabbu,81.0,7.0,132.0
Saju,76.0,72.0,87.0
Shar,111.0,76.0,75.0
Siddhu,44.0,133.0,153.0
Srini,174.0,90.0,0.0
